Division,School,Number_of_Students_Missing_10%_or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,Chronic_Absenteeism_Rate,Dropouts,Students_in_the_Cohort,Cohort_Dropout_Rate,Diplomas,GEDs,Certificates_of_Completion,Still_Enrolled,Graduation_Completion_Index,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,School_Level_Expenditures_Per_Pupil_Subtotal,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Subtotal,Total_Per_Pupil_Expenditures,Per_Pupil_Exclusions,Total_Expenditures,Per_Pupil_Federal_Funds,Per_Pupil_State_Funds,Poverty_Level,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,NCES_School_ID,State_School_ID,NCES_District_ID,State_District_ID,Low_Grade*,High_Grade*,County_Name*,Street_Address,City,State,ZIP,Final_Location_,Latitude,Longitude,ZIP_4_digit,Phone,Locale_Code*,Locale*,Charter,Magnet*,Title_I_School*,Title_1_School_Wide*,Students*,Teachers*,Student_Teacher_Ratio*,Free_Lunch*,Reduced_Lunch*,Directly_Certified*,Type,Status,county,CENSUSTRACT_FIPS,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding,CensusTract_population
Accomack County Public Schools,ARCADIA MIDDLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,510006002434,VA-001-0010704,5100060,VA-001,6,8,Accomack County,P. O. Box 220,Oak Hall,VA,23416,Accomack County P. O. Box 220 Oak Hall VA 23416,37.9366134,-75.5460774,,(757)824-4862,42,Rural: Distant,No,No,Yes,Yes,547,30.81,17.75,520,0,–,Regular,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,BADGER VOCATIONAL EDUCATION CENTER - NORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,510006001988,VA-001-0010541,5100060,VA-001,†,†,Accomack County,PO Box 69,Oak Hall,VA,23416,Accomack County PO Box 69 Oak Hall VA 23416,37.9366134,-75.5460774,69.0,(757)824-5613,42,Rural: Distant,No,No,No,†,†,–,†,†,†,†,Vocational,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Accomack County Public Schools,BADGER VOCATIONAL EDUCATION CENTER - SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,510006002004,VA-001-0010071,5100060,VA-001,†,†,Accomack County,P.O. Box 302,Onley,VA,23418,Accomack County P.O. Box 302 Onley VA 23418,37.6909641,-75.7160405,,(757)787-4522,43,Rural: Remote,No,No,No,†,†,–,†,†,†,†,Vocational,Open,accomack county,51001,67.125,72.0,55.875,77.75,72.125,52.5,29.75,43.5,0.4951042015,0.1336804018,0.09376697317,0.128594225,0.03297466233,0.066578595,0.2157780617,0.008626369075,32742
Albemarle County Public Schools,AGNOR-HURT ELEMENTARY,88.0,405.0,21.73,,,,,,,,,456.75,1110.0,11597.0,12707.0,471.0,3799.0,4270.0,16977.0,242218.0,7754282.0,1581.0,15396.0,Medium Poverty,4.0,0.0,0.0,510009000002,VA-002-0020160,5100090,VA-002,PK,5,Albemarle County,3201 Berkmar Drive,Charlottesville,VA,22901,Albemarle County 3201 Berkmar Drive Charlottesville VA 22901,38.0895784,-78.4770225,1475.0,(434)973-5211,23,Suburb: Small,No,No,Yes,No,455,33.63,13.53,217,34,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,ALBEMARLE HIGH,373.0,1961.0,19.02,28,476,5.88,438,3,0,7,92.4,1904.17,262.0,11067.0,11329.0,471.0,3799.0,4270.0,15599.0,1322031.0,29702664.0,733.0,14866.0,Low Poverty,3.4,8.9,0.0,510009000015,VA-002-0020880,5100090,VA-002,9,12,Albemarle County,2775 Hydraulic Road,Charlottesville,VA,22901,Albemarle County 2775 Hydraulic Road Charlottesville VA 22901,38.075432,-78.5006769,8917.0,(434)975-9300,41,Rural: Fringe,No,Yes,No,†,1909,139.85,13.65,485,76,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,BAKER-BUTLER ELEM,125.0,742.0,16.85,,,,,,,,,689.5,341.0,10217.0,10558.0,471.0,3799.0,4270.0,14828.0,444649.0,10223944.0,812.0,14016.0,Low Poverty,6.3,0.0,0.0,510009001937,VA-002-0021053,5100090,VA-002,PK,5,Albemarle County,2740 Proffit Road,Charlottesville,VA,22911,Albemarle County 2740 Proffit Road Charlottesville VA 22911,38.1232481,-78.4205765,,(434)974-7777,23,Suburb: Small,No,No,No,†,682,52.19,13.07,142,28,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,BROADUS WOOD ELEMENTARY,47.0,266.0,17.67,,,,,,,,,264.04,379.0,12427.0,12806.0,471.0,3799.0,4270.0,17076.0,1630000.0,4508851.0,850.0,16226.0,Low Poverty,7.7,3.8,3.8,510009000017,VA-002-0020100,5100090,VA-002,PK,5,Albemarle County,185 Buck Mountain Road,Earlysville,VA,22936,Albemarle County 185 Buck Mountain Road Earlysville VA 22936,38.1623126,-78.4899342,2009.0,(434)973-3865,41,Rural: Fringe,No,No,No,†,259,20.33,12.74,37,6,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,BROWNSVILLE ELEMENTARY,80.0,579.0,13.82,,,,,,,,,761.23,221.0,10179.0,10400.0,471.0,3799.0,4270.0,14670.0,618828.0,11167204.0,692.0,13978.0,Low Poverty,0.0,0.0,0.0,510009000018,VA-002-0020941,5100090,VA-002,PK,5,Albemarle County,5870 Rockfish Gap Turnpike,Crozet,VA,22932,Albemarle County 5870 Rockfish Gap Turnpike Crozet VA 22932,38.0521243,-78.7027108,3401.0,(434)823-4658,41,Rural: Fringe,No,No,No,†,756,47.09,16.05,81,14,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,COMMUNITY LAB SCHOOL,18.0,188.0,9.57,1,28,3.57,25,1,0,1,91.2,187.86,2.0,14337.0,14339.0,471.0,3799.0,4270.0,18609.0,103475.0,3495833.0,473.0,18136.0,Low Poverty,2.9,5.9,2.9,510009000030,VA-002-0020890,5100090,VA-002,6,12,Charlottesville city,1200 Forest Street,Charlottesville,VA,22903,Charlottesville city 1200 Forest Street Charlottesville VA 22903,38.0407261,-78.482527,5262.0,(434)296-3090,13,City: Small,Yes,No,No,†,194,17.07,11.36,16,2,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,CROZET ELEMENTARY,96.0,519.0,18.5,,,,,,,,,326.51,657.0,11703.0,12360.0,471.0,3799.0,4270.0,16630.0,14332770.0,5429968.0,1128.0,15502.0,Low Poverty,6.8,4.5,2.3,510009000020,VA-002-0020340,5100090,VA-002,PK,5,Albemarle County,1407 Crozet Avenue,Crozet,VA,22932,Albemarle County 1407 Crozet Avenue Crozet VA 22932,38.07465,-78.6972618,3401.0,(434)823-4800,31,Town: Fringe,No,No,No,†,325,23.5,13.83,72,16,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,HOLLYMEAD ELEMENTARY,50.0,340.0,14.71,,,,,,,,,349.56,614.0,12121.0,12734.0,471.0,3799.0,4270.0,17004.0,259846.0,5943953.0,1085.0,15920.0,Low Poverty,5.7,2.9,2.9,510009000022,VA-002-0020010,5100090,VA-002,PK,5,Albemarle County,2775 Powell Creek Drive,Charlottesville,VA,22911,Albemarle County 2775 Powell Creek Drive Charlottesville VA 22911,38.112628,-78.4391352,7540.0,(434)973-8301,23,Suburb: Small,No,No,No,†,342,27.33,12.51,50,14,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,JACKSON P. BURLEY MIDDLE,65.0,585.0,11.11,,,,,,,,,596.72,266.0,11366.0,11632.0,471.0,3799.0,4270.0,15901.0,418175.0,9488731.0,737.0,15165.0,Medium Poverty,4.9,3.3,0.0,510009000024,VA-002-0020069,5100090,VA-002,6,8,Charlottesville city,901 Rose Hill Drive,Charlottesville,VA,22903,Charlottesville city 901 Rose Hill Drive Charlottesville VA 22903,38.0399469,-78.486649,5255.0,(434)295-5101,13,City: Small,No,No,No,†,598,55.43,10.79,202,36,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,JOSEPH T. HENLEY MIDDLE,111.0,801.0,13.86,,,,,,,,,833.58,386.0,10290.0,10676.0,471.0,3799.0,4270.0,14945.0,246454.0,12458249.0,857.0,14089.0,Low Poverty,0.0,8.7,0.0,510009000025,VA-002-0020942,5100090,VA-002,6,8,Albemarle County,5880 Rockfish Gap Turnpike,Crozet,VA,22932,Albemarle County 5880 Rockfish Gap Turnpike Crozet VA 22932,38.0523261,-78.7056346,3401.0,(434)823-4393,41,Rural: Fringe,No,No,No,†,839,55.9,15.01,108,14,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,JOURNEY MIDDLE,141.0,631.0,22.35,,,,,,,,,700.57,283.0,10703.0,10985.0,471.0,3799.0,4270.0,15255.0,380086.0,10687319.0,754.0,14502.0,Medium Poverty,4.5,9.0,0.0,510009000023,VA-002-0020950,5100090,VA-002,6,8,Albemarle County,210 Lambs Lane,Charlottesville,VA,22901,Albemarle County 210 Lambs Lane Charlottesville VA 22901,38.0769164,-78.5066249,8979.0,(434)975-9320,41,Rural: Fringe,No,No,No,†,693,56.84,12.19,299,53,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,LAKESIDE MIDDLE,62.0,511.0,12.13,,,,,,,,,538.68,426.0,10648.0,11074.0,471.0,3799.0,4270.0,15344.0,211727.0,8265500.0,897.0,14447.0,Low Poverty,2.0,2.0,0.0,510009000751,VA-002-0021051,5100090,VA-002,6,8,Albemarle County,2801 Powell Creek Drive,Charlottesville,VA,22911,Albemarle County 2801 Powell Creek Drive Charlottesville VA 22911,38.1124889,-78.4369144,7402.0,(434)975-0599,23,Suburb: Small,No,No,No,†,545,36.25,15.03,99,19,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,LESLIE H. WALTON MIDDLE,72.0,340.0,21.18,,,,,,,,,327.84,495.0,15335.0,15830.0,471.0,3799.0,4270.0,20100.0,787464.0,6589575.0,966.0,19134.0,Medium Poverty,0.0,4.7,0.0,510009000026,VA-002-0020020,5100090,VA-002,6,8,Albemarle County,4217 Red Hill Rd,Charlottesville,VA,22903,Albemarle County 4217 Red Hill Rd Charlottesville VA 22903,37.921355,-78.550912,,(434)977-5615,41,Rural: Fringe,No,No,No,†,327,29.53,11.07,109,27,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,MARY CARR GREER ELEMENTARY,131.0,465.0,28.17,,,,,,,,,493.27,1076.0,12486.0,13562.0,471.0,3799.0,4270.0,17832.0,432997.0,8795880.0,1547.0,16285.0,Medium Poverty,1.7,0.0,0.0,510009000027,VA-002-0020040,5100090,VA-002,PK,5,Albemarle County,190 Lambs Lane,Charlottesville,VA,22901,Albemarle County 190 Lambs Lane Charlottesville VA 22901,38.0788885,-78.5060088,8979.0,(434)973-8371,41,Rural: Fringe,No,No,Yes,No,481,46.74,10.29,335,47,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,MONTICELLO HIGH,265.0,1219.0,21.74,12,345,3.48,329,4,0,2,95.3,1198.55,426.0,10688.0,11114.0,471.0,3799.0,4270.0,15384.0,470847.0,18438565.0,897.0,14487.0,Medium Poverty,2.7,6.3,0.0,510009001747,VA-002-0021052,5100090,VA-002,9,12,Albemarle County,1400 Independence Way,Charlottesville,VA,22902,Albemarle County 1400 Independence Way Charlottesville VA 22902,38.0001493,-78.4916323,8745.0,(434)244-3100,23,Suburb: Small,No,No,No,†,1213,90.1,13.46,313,46,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,MOUNTAIN VIEW ELEMENTARY,147.0,710.0,20.7,,,,,,,,,732.28,810.0,12457.0,13267.0,471.0,3799.0,4270.0,17537.0,425549.0,12842114.0,1281.0,16256.0,Medium Poverty,6.7,2.7,0.0,510009002173,VA-002-0020150,5100090,VA-002,PK,5,Albemarle County,1757 Avon Street Extended,Charlottesville,VA,22902,Albemarle County 1757 Avon Street Extended Charlottesville VA 22902,37.9962427,-78.4991303,8708.0,(434)293-7455,23,Suburb: Small,No,No,Yes,No,731,66.87,10.93,276,45,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,RED HILL ELEMENTARY,40.0,182.0,21.98,,,,,,,,,184.26,1873.0,12149.0,14022.0,471.0,3799.0,4270.0,18292.0,1122204.0,3370475.0,2344.0,15948.0,Medium Poverty,0.0,0.0,0.0,510009000029,VA-002-0020540,5100090,VA-002,PK,5,Albemarle County,3901 Red Hill School Road,North Garden,VA,22959,Albemarle County 3901 Red Hill School Road North Garden VA 22959,37.9644813,-78.6351165,1704.0,(434)293-5332,42,Rural: Distant,No,No,Yes,No,189,14.33,13.19,99,13,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,SCOTTSVILLE ELEMENTARY,35.0,211.0,16.59,,,,,,,,,214.65,887.0,13005.0,13892.0,471.0,3799.0,4270.0,18162.0,2397888.0,3898559.0,1358.0,16804.0,Medium Poverty,0.0,0.0,0.0,510009001882,VA-002-0020030,5100090,VA-002,PK,5,Albemarle County,7868 Scottsville Road,Scottsville,VA,24590,Albemarle County 7868 Scottsville Road Scottsville VA 24590,37.8190493,-78.5097208,9792.0,(434)286-2441,42,Rural: Distant,No,No,Yes,No,216,15.5,13.94,82,16,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
Albemarle County Public Schools,STONE ROBINSON ELEMENTARY,69.0,439.0,15.72,,,,,,,,,472.91,652.0,11365.0,12016.0,471.0,3799.0,4270.0,16286.0,256531.0,7701871.0,1123.0,15164.0,Low Poverty,0.0,0.0,0.0,510009000032,VA-002-0020920,5100090,VA-002,PK,5,Albemarle County,958 North Milton Road,Charlottesville,VA,22911,Albemarle County 958 North Milton Road Charlottesville VA 22911,38.0109756,-78.3969438,3612.0,(434)296-3754,41,Rural: Fringe,No,No,No,†,469,34.6,13.55,112,23,–,Regular,Open,albemarle county,51003,40.0,43.5,34.40909091,43.54545455,38.90909091,54.63636364,30.22727273,26.13636364,-0.346225805,0.1468094763,0.09562116599,0.09203828791,0.03197317535,0.08148457744,0.4079894739,0.02978685415,106355
